question_text,option_a,option_b,option_c,option_d,correct_answer,marks
What is the capital of France?,London,Berlin,Paris,Madrid,C,1
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,1
What is 2 + 2?,3,4,5,6,B,1
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,2
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D,1
Which animal is known as the King of the Jungle?,Tiger,Lion,Elephant,Giraffe,B,1
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,A,2
How many days are in a leap year?,365,366,364,367,B,1
Which country has the largest population?,USA,India,China,Indonesia,B,1
What is the speed of light approximately?,300000 km/s,150000 km/s,500000 km/s,100000 km/s,A,2
